"id","text","sentiment"
1,"honest fear corona appreciates covid volunteer medical workers 19 follow the government's call",NA
2,"cempaga sub-district government is on standby for the 19th pandemic karhula co",NA
3,"yes, mas, the people are swallowing their work raw, the news about the confusion of government education is consistent, see how positive it is that the hospital buried the body of covid in the face of the citizens",NA
4,"wkwk strange government as clear as explaining covid 19 is believed to be the video of the ideology of dick believed",NA
5,"kroditnya blamed the covid central government 19 added to the saddening of the discipline of the people 0 awareness of the people the government was merely blamed",NA
6,"do comply with government policies to keep the distance to reduce the increase in indonesia 19",NA
7,"covid 19 indonesian economy worldwide like going back and forth because one of them was destroyed understanding the government seemed to take the road",NA
8,"jakarta hk government spokesman covid co handling 19 achmad yurianto corona virus transmission causes positive confirmation of riau riau islands news",NA
9,"government policies of foreign workers the name of a national strategic project rewards the community's enthusiasm against covid 19",NA
10,"public satisfaction in the pandemic era is determined by the quality of government work handling covid 19 figures 500 additions to daily difficulties",NA
11,"gamping 14 may 2020 efforts to prevent transmission of the corona covid virus 19 anticipation of the activities of the cheap market district of limestone monitoring of eid cheap market activities held by the government of limestone",NA
12,"social restrictions on the scale of the psbb west sumatra province extended 6 19 may 2020 increase family discipline following government health protocols breaking the chain of distribution of covid 19",NA
13,"heck the mindset of the covid pandemic 19 influential people certainly has an effect on people's lives for example termination of employment in response to the government launching a labor-intensive program affected",NA
14,"the community yhaaaa the government was hit by covid isolation the hospital was forced to be healthy the government didang stupid to disperse its citizens ignorant",NA
15,"the government needs funding to be sure to take advantage of covid conditions in which the government guarantees that religious adherents are safe and religiously abide by the precepts",NA
16,"hi sobwas the foremost step of handling covid 19 quickly accountable president jokowi inauguration opening of the national coordination meeting of government internal oversight",NA
17,"government drug research results state experience treating covid 19 as prescribed by cool doctor bumngotongroyong",NA
18,"22 years of reformation sad that the community must struggle to make a living the covid pandemic 19 government policy of the confusing soeharto nature grave kabare endonesa",NA
19,"the direction of the excuse of the discovery of the covid vaccine 19 the absence of the cost of importing it the people were told to make peace corona government run a herd immunity program silently kill slowly hasbunallahu wani mal wakiil",NA
20,"achmad yurianto spokesperson handling covid 19 government synergy key community components handling covid 19 absolute discipline carry out bnpb indonesia with serinelshintadirumahaja",NA
21,"attachment of information of the head of the police of the republic of indonesia compliance with government policies arrest corona covid virus 19 jurisdiction juhar police sector monday 06 06 2020",NA
22,"the funny thing is considered pro government forgetting religion excuse me om information business father died impacted covid fully aware of a family of poor fathers obedient recommendations rule conditions quickly recovered economy assemble",NA
23,"bank indonesia governor perry warjiyo steps the burden of burden sharing the government handles the impact of the pvidemic covid 19 the influence of the burdensharing financial balance",NA
24,"government plan subsi credit interest worth 34 15 trillion rupiah channeled banks banks help micro-medium enterprises micro-medium enterprises affected by the pvidemic covid 19 watch out",NA
25,"the government of the ministry of social affairs distributed bst covid affected residents 19 bst residents took the closest post office funds of assistance worth 600 thousand rupiahs 3 villages citation district ciseeng bogor juliaribatubara",NA
26,"the minister of manpower of the republic of indonesia ida fauziyah entered into a memorandum of understanding on the ministry of manpower of the west bandung regency government in handling the impact of covid 19",NA
27,"read article rp. 9 9 trillion in labor-intensive programs",NA
28,"justify the surabaya city government slow handling of covid 19 surabaya city government seriously see the jump covid 19 east java surabaya where the mayor",NA
29,"the government prepared co-aid assistance for co-residents on 19 december",NA
30,"pertamina supports the government's strategic steps to cope with the covid pandemic",NA
31,"the community swallowed the raw statement of the government to reconcile covid 19 the people were in safe condition",NA
32,"the full spirit of the covid pandemic 19 conviction demanded awareness of obeying government regulations stipulate handling covid 19",NA
33,"19 people affected by sint prosperous sintong received direct government cash assistance",NA
34,"ostentatious options a makes sense a record of free covid 100 medical treatment of victims of covid die intensive health paid as the government should be the decision of its people",NA
35,"the government has echoed plans to implement normal new normal life indonesia steps to encourage people to live healthy productive lives outbreak covid 19 prevent lifestyle patterns of covid 19",NA
36,"house of representatives receives salary 13 aleg fpksdprri defends state civil apparatus urges the government to disburse salaries 13 aids the state civil apparatus has the right to move the covid era 19 worrying",NA
37,"the ministry of foreign affairs often talks about the pvidemic pandemic 19 indeed the dictionary of the skipper saves the ship crashing waves the government protects the poor supports the business world press",NA
38,"innovation video district government bireuen national competition regional innovation new normal video state ministry 2020 regional innovation ptsp sector covid 19 newsbireuen bobmizwar",NA
39,"the people's government completed the covid outbreak of the 19th virus co-stay",NA
40,"the government announces positive covid 19 means that it fails to understand",NA
41,"adaptation of the life of new ridwan kamil government relaxation related rules covid prevention 19",NA
42,"invulnerable to the news of the death of covid's government policies, the new normal reasoning",NA
43,"do you recommend the government's prevention of covid 19 teachings of the prophet",NA
44,"vice president ri ruf amin appealed to the pessimistic community to face the covid pandemic 19 the government attempts to deal with covid 19",NA
45,"get the addition of 568 patients a total of 16 006 people government spokesman handling covid 19 achmad yurianto graha press conference bnpb jakarta thursday afternoon",NA
46,"the majority of people middle people know the horrific covid people the emergence of covid government denial belittling jadipasti mind dwelling",NA
47,"covid government assistance 19",NA
48,"appeals to the covid prevention protocol 19 cut off the spread of covid 19 major disciplines keep physical distance washing hands wearing masks healthy lifestyle exercising jogging fr",NA
49,"hello mom acipanser the webinar event discusses government tax incentives related to covid 19 or their followers are interested",NA
50,"the aceh government involved boarding schools education citizens covid 19 taucepattanpatas",NA
51,"covid spokesman covid 19 controlled area of ​​jakarta 27 may 2020 covid government spokesman 19 achmad yurianto provincial line homeland",NA
52,"saggy vigilance prevent the spread of covid 19 new normal virus lost diminished government policy of saving the country's economy save lives saved",NA
53,"marwan jafar jokowi government is on the alert for covid waves 19",NA
54,"via military district command 1619 tabanan increases food security pandemic covid 19 dandim 1619 tabanan stocking tabanan fish seeds military district command 1619 tabanan seeks to support government programs improve",NA
55,"efforts to increase the response to the covid pandemic 19 homeland of the indonesian government issued the minister of transportation regulation number 25 2020 permenhub 25 2020 eid al-fitr homecoming transportation control 1441 h opsketupat preventcovid19",NA
56,"pandemic washing machine service covid 19 follows the government's recommendation service distance online service in bangkalan madura taiwan at rumahaja",NA
57,"the government broke the chain of transmission of covid infected 19 symptoms of asia countries do lockdwon the results of indonesian patients psbb bertele2 indonesian people's economy rose",NA
58,"the government's efforts to prevent the 19th stage from being enthusiastic about the government's insistence on raising the contribution of the social security organizing body is a different story",NA
59,"the government limits covid imports 19",NA
