"id","text","sentiment"
1,"honest fear corona appreciates covid volunteer medical workers 19 follow the government's call","Positive"
2,"cempaga sub-district government is on standby for the 19th pandemic karhula co","Positive"
3,"yes, mas, the people are swallowing their work raw, the news about the confusion of government education is consistent, see how positive it is that the hospital buried the body of covid in the face of the citizens","Positive"
4,"wkwk strange government as clear as explaining covid 19 is believed to be the video of the ideology of dick believed","Positive"
5,"kroditnya blamed the covid central government 19 added to the saddening of the discipline of the people 0 awareness of the people the government was merely blamed","Positive"
6,"do comply with government policies to keep the distance to reduce the increase in indonesia 19","Positive"
7,"covid 19 indonesian economy worldwide like going back and forth because one of them was destroyed understanding the government seemed to take the road","Positive"
8,"jakarta hk government spokesman covid co handling 19 achmad yurianto corona virus transmission causes positive confirmation of riau riau islands news","Positive"
9,"government policies of foreign workers the name of a national strategic project rewards the community's enthusiasm against covid 19","Positive"
10,"public satisfaction in the pandemic era is determined by the quality of government work handling covid 19 figures 500 additions to daily difficulties","Positive"
11,"gamping 14 may 2020 efforts to prevent transmission of the corona covid virus 19 anticipation of the activities of the cheap market district of limestone monitoring of eid cheap market activities held by the government of limestone","Negative"
12,"social restrictions on the scale of the psbb west sumatra province extended 6 19 may 2020 increase family discipline following government health protocols breaking the chain of distribution of covid 19","Positive"
13,"heck the mindset of the covid pandemic 19 influential people certainly has an effect on people's lives for example termination of employment in response to the government launching a labor-intensive program affected","Negative"
14,"the community yhaaaa the government was hit by covid isolation the hospital was forced to be healthy the government didang stupid to disperse its citizens ignorant","Positive"
15,"the government needs funding to be sure to take advantage of covid conditions in which the government guarantees that religious adherents are safe and religiously abide by the precepts","Positive"
16,"hi sobwas the foremost step of handling covid 19 quickly accountable president jokowi inauguration opening of the national coordination meeting of government internal oversight","Positive"
17,"government drug research results state experience treating covid 19 as prescribed by cool doctor bumngotongroyong","Positive"
18,"22 years of reformation sad that the community must struggle to make a living the covid pandemic 19 government policy of the confusing soeharto nature grave kabare endonesa","Negative"
19,"the direction of the excuse of the discovery of the covid vaccine 19 the absence of the cost of importing it the people were told to make peace corona government run a herd immunity program silently kill slowly hasbunallahu wani mal wakiil","Negative"
20,"achmad yurianto spokesperson handling covid 19 government synergy key community components handling covid 19 absolute discipline carry out bnpb indonesia with serinelshintadirumahaja","Positive"
